#
# SKA1-low cluster configurations
# This is using the 36 cluster stations for long baseline calibration.
# Comparing to outer config, the cluster config contains all 6 stations
# within one cluster.
#
# * Core: area 1000 m in diameter, within which the individual stations
#   are randomly located with no overlap
# * Central: area 1700 m in radius
# * Cluster: a group of 6 stations placed randomly around a cluster
#   location, only defined for stations outside the core area
# * Individual stations will be 35-45 m in diameter
# * Each station has 256 antenna elements randomly placed
# * Total 512 stations; total 131,072 antenna elements
# * 3 arms with each arm of the spiral will contain 16 clusters
# * WGS84 Positions of SKA1-low Stations
#
# Note:
# WGS84 is an Earth-centred, Earth-fixed terrestrial reference system
# and geodetic datum
#
# Reference:
# SKA-TEL-SKO-0000422, revision 02, 2016-05-31, Table 1
# http://astronomers.skatelescope.org/wp-content/uploads/2016/09/SKA-TEL-SKO-0000422_02_SKA1_LowConfigurationCoordinates-1.pdf
#
# Array center: 116.7644482 , -26.82472208
#
Label	Longitude	Latitude
CENTER	116.7644482	-26.82472208
E5-1	116.7587488	-26.84394699
E5-2	116.7593113	-26.84366272
E5-3	116.758716	-26.84360499
E5-4	116.7582899	-26.84348559
E5-5	116.7590691	-26.84327509
E5-6	116.7587759	-26.84296827
E6-1	116.7717769	-26.84975404
E6-2	116.7721822	-26.84962038
E6-3	116.7717076	-26.8492535
E6-4	116.7723117	-26.84915399
E6-5	116.7713075	-26.84908174
E6-6	116.7720743	-26.8488616
E7-1	116.7906677	-26.84866896
E7-2	116.7910262	-26.84854895
E7-3	116.7903222	-26.84848215
E7-4	116.7913485	-26.84839303
E7-5	116.7906526	-26.84806248
E7-6	116.7910011	-26.84790263
E8-1	116.8116745	-26.8363453
E8-2	116.8121999	-26.83616165
E8-3	116.8112332	-26.8360942
E8-4	116.8120439	-26.83577632
E8-5	116.8116774	-26.83574934
E8-6	116.8111896	-26.83568571
E9-1	116.8261115	-26.81023238
E9-2	116.8264827	-26.80995352
E9-3	116.826081	-26.8097928
E9-4	116.8267997	-26.80959316
E9-5	116.826478	-26.80945514
E9-6	116.8260119	-26.80945385
S5-1	116.7491272	-26.81152597
S5-2	116.7490547	-26.81109842
S5-3	116.7496873	-26.81091406
S5-4	116.7486614	-26.81087983
S5-5	116.7492924	-26.81082273
S5-6	116.7488724	-26.8105963
S6-1	116.7369384	-26.81849759
S6-2	116.7374566	-26.81848799
S6-3	116.7372028	-26.81825846
S6-4	116.7376329	-26.81799621
S6-5	116.7367779	-26.81796736
S6-6	116.7372458	-26.8178076
S7-1	116.7286485	-26.83374709
S7-2	116.7281764	-26.83347982
S7-3	116.7290074	-26.83342162
S7-4	116.7286519	-26.8332142
S7-5	116.7288959	-26.8329414
S7-6	116.728237	-26.83288695
S8-1	116.7296735	-26.8560953
S8-2	116.7300576	-26.8560741
S8-3	116.7304059	-26.85574847
S8-4	116.7300923	-26.85559479
S8-5	116.7297105	-26.85548493
S8-6	116.7300099	-26.8551816
S9-1	116.7478812	-26.88073626
S9-2	116.7473977	-26.88057617
S9-3	116.7478699	-26.88033877
S9-4	116.7473076	-26.88021958
S9-5	116.7483166	-26.88001382
S9-6	116.7475354	-26.87992913
N5-1	116.7851002	-26.82014855
N5-2	116.7855278	-26.82006489
N5-3	116.7848767	-26.81983794
N5-4	116.7852767	-26.81970067
N5-5	116.785792	-26.81951644
N5-6	116.785225	-26.8193791
N6-1	116.7843351	-26.8070545
N6-2	116.784902	-26.80703233
N6-3	116.7845194	-26.80677593
N6-4	116.7841326	-26.80675068
N6-5	116.7849203	-26.80671248
N6-6	116.7845937	-26.80636045
N7-1	116.7739721	-26.79281135
N7-2	116.7735765	-26.792698
N7-3	116.7743154	-26.79269621
N7-4	116.7745857	-26.79247191
N7-5	116.7742106	-26.79234492
N7-6	116.7738522	-26.792231
N8-1	116.7515433	-26.78285983
N8-2	116.752285	-26.78263646
N8-3	116.7513539	-26.78258462
N8-4	116.7517881	-26.7824441
N8-5	116.7514499	-26.78225374
N8-6	116.7520839	-26.78213682
N9-1	116.7193487	-26.78450672
N9-2	116.7196165	-26.78423906
N9-3	116.7188221	-26.78418602
N9-4	116.71924	-26.78408511
N9-5	116.7194779	-26.78376003
N9-6	116.718931	-26.78372956
E10-1	116.8347371	-26.86176268
E10-2	116.834348	-26.86159647
E10-3	116.8353121	-26.8615534
E10-4	116.8347631	-26.86125593
E10-5	116.8344672	-26.86094903
E10-6	116.8351963	-26.86090599
E11-1	116.8641579	-26.85878643
E11-2	116.8636119	-26.85870578
E11-3	116.8638423	-26.85834261
E11-4	116.8646105	-26.85829028
E11-5	116.8636348	-26.85805447
E11-6	116.8643041	-26.85797243
E12-1	116.8672039	-26.90680861
E12-2	116.8667745	-26.90652953
E12-3	116.8662078	-26.90646679
E12-4	116.8671252	-26.90629902
E12-5	116.8667427	-26.90614098
E12-6	116.8663364	-26.90612716
E13-1	116.9401077	-26.83064117
E13-2	116.9392886	-26.8306141
E13-3	116.9397308	-26.83051693
E13-4	116.9393104	-26.8302564
E13-5	116.939966	-26.83021914
E13-6	116.9396636	-26.83002688
E14-1	116.9922323	-26.79902736
E14-2	116.9916868	-26.79866777
E14-3	116.9920482	-26.7986387
E14-4	116.9926364	-26.79850684
E14-5	116.9919191	-26.7982143
E14-6	116.9925288	-26.79820227
E15-1	117.0158578	-26.69732178
E15-2	117.0155882	-26.69708802
E15-3	117.0162532	-26.6969127
E15-4	117.0156053	-26.69673156
E15-5	117.0159925	-26.69667824
E15-6	117.0151704	-26.69667332
E16-1	117.1008345	-26.69055242
E16-2	117.1003946	-26.69039417
E16-3	117.1014443	-26.69031374
E16-4	117.1006012	-26.69008062
E16-5	117.1009888	-26.68998431
E16-6	117.1006102	-26.68974898
S10-1	116.6934694	-26.86364934
S10-2	116.6936477	-26.86332065
S10-3	116.6940413	-26.86328963
S10-4	116.6933202	-26.86314137
S10-5	116.6937032	-26.86286849
S10-6	116.6932109	-26.86280413
S11-1	116.6668404	-26.89933818
S11-2	116.6672183	-26.89931558
S11-3	116.6674161	-26.89901239
S11-4	116.6662459	-26.898997
S11-5	116.6667466	-26.89886667
S11-6	116.6667282	-26.89853735
S12-1	116.621806	-26.86551456
S12-2	116.6212838	-26.86537586
S12-3	116.6209025	-26.86524562
S12-4	116.6215548	-26.86514601
S12-5	116.6213153	-26.86482914
S12-6	116.6217019	-26.86470905
S13-1	116.654655	-26.94980057
S13-2	116.6543054	-26.94974299
S13-3	116.6546702	-26.94945108
S13-4	116.6541229	-26.94929703
S13-5	116.6550111	-26.94917824
S13-6	116.6544358	-26.94914686
S14-1	116.6724452	-27.01275912
S14-2	116.6721744	-27.01249221
S14-3	116.6726362	-27.01237268
S14-4	116.6730036	-27.01226612
S14-5	116.6721143	-27.0121388
S14-6	116.6726135	-27.01183478
S15-1	116.7350929	-27.06405311
S15-2	116.7346518	-27.06377415
S15-3	116.7350833	-27.06373507
S15-4	116.7355045	-27.06359356
S15-5	116.7345239	-27.06347916
S15-6	116.7350733	-27.06318397
S16-1	116.7249633	-27.1277494
S16-2	116.7244782	-27.12761601
S16-3	116.7253556	-27.12752824
S16-4	116.7248094	-27.12736266
S16-5	116.724343	-27.12729809
S16-6	116.7250603	-27.12713916
N10-1	116.7629117	-26.75105887
N10-2	116.7625575	-26.75091736
N10-3	116.7622003	-26.75086263
N10-4	116.7629698	-26.75068532
N10-5	116.7626113	-26.75056634
N10-6	116.7623293	-26.75031407
N11-1	116.8051832	-26.72196935
N11-2	116.8048251	-26.72182177
N11-3	116.8052279	-26.72161185
N11-4	116.804888	-26.7214978
N11-5	116.8056074	-26.72145048
N11-6	116.8051393	-26.72108151
N12-1	116.7246454	-26.71301006
N12-2	116.7254414	-26.71294578
N12-3	116.724987	-26.71276973
N12-4	116.7253591	-26.71246973
N12-5	116.7244721	-26.71244054
N12-6	116.7250108	-26.71240138
N13-1	116.6800133	-26.6850214
N13-2	116.6804197	-26.68492388
N13-3	116.6797939	-26.68475241
N13-4	116.680207	-26.68455841
N13-5	116.6798233	-26.68435021
N13-6	116.6802391	-26.68422317
N14-1	116.6251826	-26.66182193
N14-2	116.6254959	-26.66167061
N14-3	116.6252036	-26.66138424
N14-4	116.6248264	-26.6613602
N14-5	116.6254433	-26.66107185
N14-6	116.6248821	-26.66097463
N15-1	116.5451234	-26.70516586
N15-2	116.5456468	-26.70502263
N15-3	116.5447981	-26.70481611
N15-4	116.5452092	-26.7047463
N15-5	116.5455271	-26.70460081
N15-6	116.5448237	-26.70440536
N16-1	116.4524469	-26.60137167
N16-2	116.4531217	-26.60115099
N16-3	116.4525556	-26.60097515
N16-4	116.4530242	-26.60081122
N16-5	116.4521976	-26.60076065
N16-6	116.4525843	-26.60061336
